,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_small,safety_low,safety_med,safety_high,lug_boot_med,lug_boot_big,persons_4,persons_more,doors_3,doors_4,doors_5more,maint_high,maint_med,maint_low,buying_high,buying_med,buying_low
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
15,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
18,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
24,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
27,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
