,class_1,a1_1,a2_1,a3_1,a4_1,a5_1,a6_1,a6_2,a5_2,a5_3,a5_4,a4_2,a4_3,a3_2,a2_2,class_0,a2_3,a1_2,a1_3
data_1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
data_2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
data_3,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
data_4,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
data_5,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
data_6,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
data_7,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
data_8,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
data_9,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
data_10,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
data_11,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
data_12,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
data_13,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
data_14,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
data_15,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
data_16,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
data_17,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
data_18,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
data_19,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
data_20,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
data_21,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
data_22,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
data_23,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
data_24,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
data_25,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
data_26,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
data_27,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
data_28,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
data_29,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
data_30,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
data_31,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
data_32,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
data_33,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
data_34,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
data_35,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
data_36,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
data_37,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
data_38,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
data_39,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
data_40,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
data_41,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
data_42,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
data_43,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
data_44,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
data_45,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
data_46,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
